tm,MVm,PVm
2.600000000000000000e+02,1.000000000000000000e+00,2.723250000000000393e-01
2.610000000000000000e+02,1.000000000000000000e+00,2.715249999999999053e-01
2.620000000000000000e+02,1.000000000000000000e+00,2.739499999999999713e-01
2.630000000000000000e+02,1.000000000000000000e+00,2.739499999999999713e-01
2.640000000000000000e+02,1.000000000000000000e+00,2.739499999999999713e-01
2.650000000000000000e+02,1.000000000000000000e+00,2.739499999999999713e-01
2.660000000000000000e+02,1.000000000000000000e+00,2.747500000000000497e-01
2.670000000000000000e+02,1.000000000000000000e+00,2.739499999999999713e-01
2.680000000000000000e+02,1.000000000000000000e+00,2.755499999999999616e-01
2.690000000000000000e+02,1.000000000000000000e+00,2.779749999999999721e-01
2.700000000000000000e+02,1.000000000000000000e+00,2.803749999999999298e-01
2.710000000000000000e+02,1.000000000000000000e+00,2.795750000000000179e-01
2.720000000000000000e+02,1.000000000000000000e+00,2.811999999999999500e-01
2.730000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
2.740000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
2.750000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
2.760000000000000000e+02,1.000000000000000000e+00,2.811999999999999500e-01
2.770000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
2.780000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
2.790000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
2.800000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
2.810000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
2.820000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
2.830000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
2.840000000000000000e+02,1.000000000000000000e+00,2.860250000000000847e-01
2.850000000000000000e+02,1.000000000000000000e+00,2.852249999999999508e-01
2.860000000000000000e+02,1.000000000000000000e+00,2.827999999999999403e-01
2.870000000000000000e+02,1.000000000000000000e+00,2.868249999999999966e-01
2.880000000000000000e+02,1.000000000000000000e+00,2.868249999999999966e-01
2.890000000000000000e+02,1.000000000000000000e+00,2.900499999999999190e-01
2.900000000000000000e+02,1.000000000000000000e+00,2.900499999999999190e-01
2.910000000000000000e+02,1.000000000000000000e+00,2.900499999999999190e-01
2.920000000000000000e+02,1.000000000000000000e+00,2.900499999999999190e-01
2.930000000000000000e+02,1.000000000000000000e+00,2.900499999999999190e-01
2.940000000000000000e+02,1.000000000000000000e+00,2.900499999999999190e-01
2.950000000000000000e+02,1.000000000000000000e+00,2.900499999999999190e-01
2.960000000000000000e+02,1.000000000000000000e+00,2.908499999999999974e-01
2.970000000000000000e+02,1.000000000000000000e+00,2.900499999999999190e-01
2.980000000000000000e+02,1.000000000000000000e+00,2.916750000000000176e-01
2.990000000000000000e+02,1.000000000000000000e+00,2.924749999999999295e-01
3.000000000000000000e+02,1.000000000000000000e+00,2.972999999999998977e-01
3.010000000000000000e+02,1.000000000000000000e+00,2.940749999999999753e-01
3.020000000000000000e+02,1.000000000000000000e+00,2.956999999999999074e-01
3.030000000000000000e+02,1.000000000000000000e+00,2.980999999999999761e-01
3.040000000000000000e+02,1.000000000000000000e+00,2.980999999999999761e-01
3.050000000000000000e+02,1.000000000000000000e+00,2.980999999999999761e-01
3.060000000000000000e+02,1.000000000000000000e+00,2.989249999999999963e-01
3.070000000000000000e+02,1.000000000000000000e+00,2.980999999999999761e-01
3.080000000000000000e+02,1.000000000000000000e+00,2.980999999999999761e-01
3.090000000000000000e+02,1.000000000000000000e+00,2.980999999999999761e-01
3.100000000000000000e+02,1.000000000000000000e+00,2.980999999999999761e-01
3.110000000000000000e+02,1.000000000000000000e+00,2.980999999999999761e-01
3.120000000000000000e+02,1.000000000000000000e+00,2.980999999999999761e-01
3.130000000000000000e+02,1.000000000000000000e+00,3.021250000000000324e-01
